commodity_group,exporter,export_value,import_value
04,MDG,0.0,0.0
04,MLI,0.0,0.0
04,MOZ,0.0,80311.0
04,MRT,0.0,473533.0
04,MUS,607.0,114248.0
04,MWI,0.0,0.0
04,NAM,0.0,0.0
04,NER,14091.0,1047919.0
04,NGA,0.0,3557715.0
04,RWA,0.0,2484.0
04,SDN,0.0,4310.0
04,SEN,40482.0,2479500.0
04,SLE,0.0,0.0
04,SOM,0.0,0.0
04,STP,0.0,0.0
04,SWZ,0.0,0.0
04,SYC,0.0,0.0
04,TCD,0.0,0.0
04,TGO,0.0,0.0
04,TUN,0.0,189087.0
04,TZA,63069.0,8209.0
04,UGA,0.0,0.0
04,ZAF,62208.0,3497083.0
04,ZMB,0.0,3560.0
04,ZWE,0.0,306.0
05,AGO,0.0,0.0
05,BDI,0.0,0.0
05,BEN,0.0,0.0
05,BFA,0.0,0.0
05,BWA,86908.0,202.0
05,CAF,83730.0,0.0
05,CIV,171237.0,607.0
05,CMR,130321.0,0.0
05,COD,1646281.0,27313090.0
05,COG,68860.0,0.0
05,COM,0.0,0.0
05,CPV,0.0,0.0
05,DJI,0.0,0.0
05,DZA,0.0,61204.0
05,EGY,17710.0,409505.0
05,ERI,0.0,0.0
05,ETH,81425.0,217.0
05,GAB,126980.0,0.0
05,GHA,0.0,168500.0
05,GIN,11802.0,0.0
05,GMB,0.0,2567.0
05,GNB,0.0,0.0
05,GNQ,0.0,0.0
05,KEN,354677.0,192316.0
05,LBR,8556.0,0.0
05,LBY,0.0,0.0
05,LSO,0.0,0.0
05,MAR,34062.0,9208270.0
05,MDG,33132.0,0.0
05,MLI,0.0,0.0
05,MOZ,82205.0,62939.0
05,MRT,0.0,99.0
05,MUS,53306.0,3766556.0
05,MWI,21141.0,0.0
05,NAM,56472.0,3384.0
05,NER,0.0,0.0
05,NGA,265396.0,0.0
05,RWA,11884.0,2921.0
05,SDN,0.0,0.0
05,SEN,54241.0,292.0
05,SLE,0.0,0.0
05,SOM,18755.0,0.0
05,STP,0.0,0.0
05,SWZ,0.0,0.0
05,SYC,0.0,0.0
05,TCD,0.0,0.0
05,TGO,0.0,0.0
05,TUN,0.0,106563.0
05,TZA,2214492.0,208862.0
05,UGA,137021.0,0.0
05,ZAF,1056180.0,39282004.0
05,ZMB,266.0,955872.0
05,ZWE,989132.0,58369.0
06,AGO,0.0,14126.0
06,BDI,0.0,117.0
06,BEN,0.0,0.0
06,BFA,0.0,5159.0
06,BWA,0.0,7955.0
06,CAF,0.0,0.0
06,CIV,344.0,217.0
06,CMR,0.0,1582.0
06,COD,256307.0,702591.0
06,COG,0.0,0.0
06,COM,0.0,0.0
06,CPV,0.0,0.0
06,DJI,0.0,0.0
06,DZA,470.0,180629.0
06,EGY,0.0,113319.0
06,ERI,0.0,0.0
06,ETH,132624.0,27876.0
06,GAB,0.0,0.0
06,GHA,23.0,324.0
06,GIN,0.0,0.0
06,GMB,0.0,423.0
06,GNB,0.0,0.0
06,GNQ,0.0,0.0
06,KEN,798337.0,35688.0
06,LBR,0.0,0.0
06,LBY,0.0,4398.0
06,LSO,0.0,0.0
06,MAR,0.0,116861.0
06,MDG,0.0,0.0
06,MLI,0.0,0.0
06,MOZ,191655.0,11691.0
06,MRT,0.0,0.0
06,MUS,0.0,39805.0
06,MWI,1885.0,0.0
06,NAM,0.0,0.0
06,NER,0.0,0.0
06,NGA,0.0,0.0
06,RWA,25498.0,13500.0
06,SDN,0.0,10641.0
06,SEN,46354.0,99379.0
06,SLE,0.0,0.0
06,SOM,0.0,0.0
06,STP,0.0,0.0
06,SWZ,0.0,0.0
06,SYC,0.0,0.0
06,TCD,0.0,0.0
06,TGO,0.0,0.0
06,TUN,0.0,32453.0
06,TZA,76559.0,17680.0
06,UGA,106340.0,0.0
06,ZAF,2555156.0,563890.0
06,ZMB,607.0,807.0
06,ZWE,30036.0,85.0
07,AGO,0.0,5288549.0
07,BDI,0.0,86.0
07,BEN,0.0,1239535.0
07,BFA,0.0,73667.0
07,BWA,0.0,56560.0
07,CAF,0.0,0.0
07,CIV,0.0,2024440.0
07,CMR,0.0,1107451.0
07,COD,10406474.0,11929500.0
07,COG,0.0,1363374.0
07,COM,0.0,27217.0
07,CPV,0.0,229687.0
07,DJI,0.0,0.0
07,DZA,0.0,10626138.0
07,EGY,14699.0,11529970.0
07,ERI,0.0,48439.0
07,ETH,473250.0,163936.0
07,GAB,0.0,1219449.0
07,GHA,6095.0,2973526.0
07,GIN,0.0,714809.0
07,GMB,0.0,176187.0
07,GNB,0.0,0.0
07,GNQ,0.0,134639.0
07,KEN,0.0,3396390.0
07,LBR,0.0,22275.0
07,LBY,0.0,1204756.0
07,LSO,0.0,4762.0
07,MAR,94826.0,271124.0
07,MDG,0.0,0.0
07,MLI,0.0,1661245.0
07,MOZ,357110.0,2722383.0
07,MRT,0.0,518181.0
07,MUS,0.0,3615393.0
07,MWI,0.0,0.0
07,NAM,0.0,7239.0
07,NER,0.0,56181.0
07,NGA,2241.0,900928.0
07,RWA,352.0,140203.0
07,SDN,0.0,6062399.0
07,SEN,0.0,9681271.0
07,SLE,0.0,9416.0
07,SOM,0.0,497161.0
07,STP,0.0,60325.0
07,SWZ,0.0,0.0
07,SYC,0.0,310310.0
07,TCD,0.0,0.0
07,TGO,0.0,1107755.0
07,TUN,0.0,4943179.0
07,TZA,683651.0,552201.0
07,UGA,0.0,413500.0
07,ZAF,82632.0,39999310.0
07,ZMB,0.0,18197.0
07,ZWE,0.0,6943.0
08,AGO,0.0,73853.0
08,BDI,0.0,138.0
08,BEN,24590.0,11765.0
08,BFA,0.0,35597.0
08,BWA,0.0,434.0
08,CAF,0.0,0.0
08,CIV,124628.0,12743.0
08,CMR,402005.0,4714.0
08,COD,106486023.0,31923460.0
08,COG,0.0,1194.0
08,COM,0.0,0.0
08,CPV,0.0,0.0
08,DJI,0.0,0.0
08,DZA,0.0,158342.0
08,EGY,7676242.0,475760.0
08,ERI,0.0,14.0
08,ETH,0.0,56742.0
08,GAB,0.0,0.0
08,GHA,59163.0,49399.0
08,GIN,145065.0,0.0
08,GMB,0.0,443.0
08,GNB,0.0,0.0
08,GNQ,0.0,15372.0
08,KEN,0.0,1053108.0
08,LBR,0.0,0.0
08,LBY,0.0,1565309.0
08,LSO,0.0,0.0
08,MAR,2089344.0,42950.0
08,MDG,0.0,0.0
08,MLI,1230985.0,0.0
08,MOZ,38160.0,20018.0
08,MRT,0.0,153333.0
08,MUS,0.0,142610.0
08,MWI,0.0,0.0
08,NAM,0.0,0.0
08,NER,0.0,42750.0
08,NGA,56331.0,13440.0
08,RWA,0.0,4628.0
08,SDN,0.0,149000.0
08,SEN,0.0,1631239.0
08,SLE,0.0,0.0
08,SOM,0.0,0.0
08,STP,0.0,0.0
08,SWZ,0.0,0.0
08,SYC,0.0,83425.0
08,TCD,0.0,0.0
08,TGO,949010.0,0.0
08,TUN,1130165.0,6351924.0
08,TZA,1735843.0,11831.0
08,UGA,0.0,0.0
08,ZAF,152453220.0,3172724.0
08,ZMB,0.0,9228.0
08,ZWE,3334008.0,522.0
09,AGO,0.0,577740.0
09,BDI,69562.0,124.0
09,BEN,2410.0,9547343.0
09,BFA,0.0,1226201.0
09,BWA,0.0,10070.0
09,CAF,0.0,0.0
09,CIV,187320.0,7342289.0
09,CMR,0.0,7014996.0
09,COD,26890.0,22704860.0
09,COG,0.0,538463.0
09,COM,0.0,0.0
09,CPV,0.0,0.0
09,DJI,0.0,712400.0
09,DZA,0.0,30670031.0
09,EGY,165978.0,6769681.0
09,ERI,0.0,745.0
09,ETH,3685790.0,850288.0
09,GAB,0.0,859484.0
09,GHA,0.0,18300962.0
09,GIN,0.0,8615549.0
09,GMB,0.0,18000054.0
09,GNB,0.0,343980.0
09,GNQ,0.0,99900.0
09,KEN,2847984.0,355411.0
09,LBR,0.0,296700.0
09,LBY,0.0,11372069.0
09,LSO,0.0,162.0
09,MAR,115377.0,213999081.0
09,MDG,915845.0,0.0
09,MLI,0.0,24400000.0
09,MOZ,0.0,65979.0
09,MRT,0.0,61800000.0
09,MUS,171641.0,85197.0
09,MWI,299685.0,0.0
09,NAM,0.0,734.0
09,NER,1451591.0,14523153.0
09,NGA,412725.0,1459689.0
09,RWA,2280.0,72096.0
09,SDN,954.0,4395357.0
09,SEN,0.0,60796014.0
09,SLE,0.0,451119.0
09,SOM,0.0,118530.0
09,STP,0.0,10.0
09,SWZ,0.0,0.0
09,SYC,0.0,421551.0
09,TCD,0.0,1559578.0
09,TGO,0.0,75400000.0
09,TUN,0.0,6718392.0
09,TZA,181151.0,60737.0
09,UGA,1778625.0,0.0
09,ZAF,531883.0,9973372.0
09,ZMB,1207.0,63929.0
09,ZWE,0.0,24931.0
10,AGO,0.0,216808.0
10,BDI,0.0,157.0
10,BEN,0.0,1840381.0
10,BFA,0.0,354961.0
10,BWA,0.0,50866.0
10,CAF,0.0,0.0
10,CIV,0.0,17842.0
10,CMR,0.0,971314.0
10,COD,37474.0,43441020.0
10,COG,0.0,0.0
10,COM,0.0,2977.0
10,CPV,0.0,0.0
10,DJI,0.0,0.0
10,DZA,0.0,88668.0
10,EGY,0.0,43715.0
